location,Code,Year,mental_health_and_substance_use_deaths
Afghanistan,AFG,2017,0.108398564746435
Albania,ALB,2017,1.4318276378133
Algeria,DZA,2017,0.814019975169506
American Samoa,ASM,2017,6.860720587956
Andean Latin America,,2017,2.41088187315553
Andorra,AND,2017,18.1520385120963
Angola,AGO,2017,0.755622337057664
Antigua and Barbuda,ATG,2017,0.691478576308979
Argentina,ARG,2017,2.04405306366813
Armenia,ARM,2017,3.38583102887439
Australasia,,2017,13.7792994684605
Australia,AUS,2017,14.5964503452612
Austria,AUT,2017,48.2441204827728
Azerbaijan,AZE,2017,3.83886506085134
Bahamas,BHS,2017,1.21525030674466
Bahrain,BHR,2017,0.349041282104637
Bangladesh,BGD,2017,0.529445440497255
Barbados,BRB,2017,1.40832148635419
Belarus,BLR,2017,2.41729162467676
Belgium,BEL,2017,17.3412855234221
Belize,BLZ,2017,0.58955506723354
Benin,BEN,2017,0.30046775576017
Bermuda,BMU,2017,0.569176776608261
Bhutan,BTN,2017,0.920254035491833
Bolivia,BOL,2017,1.92405121263212
Bosnia and Herzegovina,BIH,2017,1.47626897714652
Botswana,BWA,2017,2.03214801415899
Brazil,BRA,2017,3.82770000840284
Brunei,BRN,2017,46.6571846372852
Bulgaria,BGR,2017,3.3457052137505
Burkina Faso,BFA,2017,0.246256534963709
Burundi,BDI,2017,0.22674564200538
Cambodia,KHM,2017,0.089709518485543
Cameroon,CMR,2017,1.00321557475897
Canada,CAN,2017,14.6676969213725
Cape Verde,CPV,2017,0.788350713304591
Caribbean,,2017,4.8224278960362
Central African Republic,CAF,2017,0.452025319538406
Central Asia,,2017,4.06410819358542
Central Europe,,2017,5.81335429143858
"Central Europe, Eastern Europe, and Central Asia",,2017,4.64587550872525
Central Latin America,,2017,2.08160390697958
Central Sub-Saharan Africa,,2017,0.635622919506706
Chad,TCD,2017,0.214009396579239
Chile,CHL,2017,0.369172670160365
China,CHN,2017,2.62616052476082
Colombia,COL,2017,0.27903534518028
Comoros,COM,2017,0.737612272123101
Congo,COG,2017,1.84540188813018
Costa Rica,CRI,2017,0.354679121364487
Cote d'Ivoire,CIV,2017,0.432419851904936
Croatia,HRV,2017,4.46880081858812
Cuba,CUB,2017,3.37252219137846
Cyprus,CYP,2017,0.700309650365567
Czechia,CZE,2017,3.09400582446038
Democratic Republic of Congo,COD,2017,0.473579123125209
Denmark,DNK,2017,10.2189583371439
Djibouti,DJI,2017,0.48446846154187
Dominica,DMA,2017,1.6452889303657
Dominican Republic,DOM,2017,12.8419860686666
East Asia,,2017,2.66567807027421
Eastern Europe,,2017,4.3986667961262
Eastern Sub-Saharan Africa,,2017,0.510484633662209
Ecuador,ECU,2017,0.597358097078476
Egypt,EGY,2017,0.605887493971024
El Salvador,SLV,2017,2.84841357008554
England,,2017,20.7688814935547
Equatorial Guinea,GNQ,2017,1.74040718293958
Eritrea,ERI,2017,0.492072388895713
Estonia,EST,2017,60.8599543831212
Eswatini,SWZ,2017,1.88083082348387
Ethiopia,ETH,2017,0.199393954641721
Fiji,FJI,2017,4.76853211136562
Finland,FIN,2017,23.0553004172392
France,FRA,2017,24.8301916463057
Gabon,GAB,2017,1.81105110595682
Gambia,GMB,2017,0.462119857162281
Georgia,GEO,2017,5.00593085304235
Germany,DEU,2017,33.5742997096247
Ghana,GHA,2017,1.08128821837471
Greece,GRC,2017,16.3943381984096
Greenland,GRL,2017,9.81355010353656
Grenada,GRD,2017,0.616935513433464
Guam,GUM,2017,8.72193881389238
Guatemala,GTM,2017,1.31961823355506
Guinea,GIN,2017,0.312259927580035
Guinea-Bissau,GNB,2017,0.33186263238877
Guyana,GUY,2017,0.794570253100504
Haiti,HTI,2017,0.26855585483299
High SDI,,2017,19.5665388956294
High-income,,2017,20.0674224243904
High-income Asia Pacific,,2017,38.7384826645784
High-middle SDI,,2017,3.06424893927163
Honduras,HND,2017,3.03245137667708
Hungary,HUN,2017,2.9558460527632
Iceland,ISL,2017,3.56624057467983
India,IND,2017,1.05106074620639
Indonesia,IDN,2017,0.243647989020344
Iran,IRN,2017,9.46957584034229
Iraq,IRQ,2017,0.289016367032802
Ireland,IRL,2017,3.83273903249465
Israel,ISR,2017,0.877655459531039
Italy,ITA,2017,10.9002881962362
Jamaica,JAM,2017,1.0647031743128
Japan,JPN,2017,44.0095468794084
Jordan,JOR,2017,0.967454709834307
Kazakhstan,KAZ,2017,3.80520825523881
Kenya,KEN,2017,1.21991949407355
Kiribati,KIR,2017,2.19738932959813
Kuwait,KWT,2017,11.0184350817426
Kyrgyzstan,KGZ,2017,8.83945679975069
Laos,LAO,2017,0.134972258814196
Latin America and Caribbean,,2017,3.09773416552957
Latvia,LVA,2017,3.20066893137991
Lebanon,LBN,2017,1.86329325058766
Lesotho,LSO,2017,1.50237768064585
Liberia,LBR,2017,0.307619166560811
Libya,LBY,2017,2.85416908085769
Lithuania,LTU,2017,0.423031119925985
Low SDI,,2017,0.397164823904442
Low-middle SDI,,2017,1.01814323120139
Luxembourg,LUX,2017,61.806521091272
Madagascar,MDG,2017,0.368565675648795
Malawi,MWI,2017,0.481979742166306
Malaysia,MYS,2017,0.397334931179329
Maldives,MDV,2017,0.119816275515803
Mali,MLI,2017,0.222655069648544
Malta,MLT,2017,16.0581522506896
Marshall Islands,MHL,2017,6.55416213568365
Mauritania,MRT,2017,0.520428519872812
Mauritius,MUS,2017,0.32303916237823
Mexico,MEX,2017,2.9235956201954
Micronesia (country),FSM,2017,4.40085516055468
Middle SDI,,2017,1.88242156325514
Moldova,MDA,2017,19.7760875267381
Mongolia,MNG,2017,3.70187542876412
Montenegro,MNE,2017,2.77759386254063
Morocco,MAR,2017,0.346075002096914
Mozambique,MOZ,2017,0.382872683959862
Myanmar,MMR,2017,0.192804293680693
Namibia,NAM,2017,1.52094863601022
Nepal,NPL,2017,0.367955585561707
Netherlands,NLD,2017,44.351961667579
New Zealand,NZL,2017,9.10264537317085
Nicaragua,NIC,2017,1.99624141827269
Niger,NER,2017,0.134755416132849
Nigeria,NGA,2017,0.740801804803068
North Africa and Middle East,,2017,2.05601801441502
North America,,2017,13.5550185218783
North Korea,PRK,2017,0.622440047024866
North Macedonia,MKD,2017,2.74105468508104
Northern Ireland,,2017,24.6700008501489
Northern Mariana Islands,MNP,2017,4.61078470732782
Norway,NOR,2017,14.743594641279
Oceania,,2017,2.05990062154831
Oman,OMN,2017,0.508693965399298
Pakistan,PAK,2017,0.97260273988119
Palestine,PSE,2017,0.78279763292499
Panama,PAN,2017,13.6426400901469
Papua New Guinea,PNG,2017,1.51694646897527
Paraguay,PRY,2017,12.3024584715386
Peru,PER,2017,3.51171254999113
Philippines,PHL,2017,0.155423171553697
Poland,POL,2017,11.4417513536373
Portugal,PRT,2017,0.245087461203186
Puerto Rico,PRI,2017,9.03679552161368
Qatar,QAT,2017,0.378737929507094
Romania,ROU,2017,2.66839299944471
Russia,RUS,2017,4.18733760710116
Rwanda,RWA,2017,0.449639053985636
Saint Lucia,LCA,2017,0.598400025631196
Saint Vincent and the Grenadines,VCT,2017,0.514829277323292
Samoa,WSM,2017,3.94986126250103
Sao Tome and Principe,STP,2017,0.994384389755216
Saudi Arabia,SAU,2017,0.737684527886076
Scotland,,2017,27.6753470931754
Senegal,SEN,2017,0.356662101923459
Serbia,SRB,2017,1.94839174695007
Seychelles,SYC,2017,0.419503889190274
Sierra Leone,SLE,2017,0.33336320175717
Singapore,SGP,2017,0.890822427518868
Slovakia,SVK,2017,3.49362244240965
Slovenia,SVN,2017,2.97971770722138
Solomon Islands,SLB,2017,1.58359144749247
Somalia,SOM,2017,0.196395482679474
South Africa,ZAF,2017,2.95155086914489
South Asia,,2017,0.990935491858865
South Korea,KOR,2017,32.5854210131147
South Sudan,SSD,2017,0.228811735224735
Southeast Asia,,2017,0.242522995910749
"Southeast Asia, East Asia, and Oceania",,2017,1.88493648259738
Southern Latin America,,2017,1.59819723378934
Southern Sub-Saharan Africa,,2017,2.58808682682522
Spain,ESP,2017,6.3575332076248
Sri Lanka,LKA,2017,0.299697915743752
Sub-Saharan Africa,,2017,0.763271232834065
Sudan,SDN,2017,0.206801326146474
Suriname,SUR,2017,0.663553229209563
Sweden,SWE,2017,9.8296219663041
Switzerland,CHE,2017,54.7252824070053
Syria,SYR,2017,0.546698946269356
Taiwan,TWN,2017,7.42442843763839
Tajikistan,TJK,2017,2.75556369653797
Tanzania,TZA,2017,0.643991255887658
Thailand,THA,2017,0.404863470375534
Timor,TLS,2017,0.143558235559309
Togo,TGO,2017,0.426856783472999
Tonga,TON,2017,3.16310397234397
Trinidad and Tobago,TTO,2017,0.571569366260769
Tropical Latin America,,2017,4.08347423292579
Tunisia,TUN,2017,0.521219129419936
Turkey,TUR,2017,1.45378738238032
Turkmenistan,TKM,2017,3.33931033585522
Uganda,UGA,2017,0.483985272426461
Ukraine,UKR,2017,2.80783868782355
United Arab Emirates,ARE,2017,1.06038244526548
United Kingdom,GBR,2017,21.4323829724075
United States,USA,2017,13.44825933634
United States Virgin Islands,VIR,2017,0.178935867616532
Uruguay,URY,2017,2.32826071482333
Uzbekistan,UZB,2017,3.8250501460083
Vanuatu,VUT,2017,3.13909284438792
Venezuela,VEN,2017,0.385076360897888
Vietnam,VNM,2017,0.207425278909896
Wales,,2017,20.5288224439922
Western Europe,,2017,21.3732808030936
Western Sub-Saharan Africa,,2017,0.619394416369337
World,OWID_WRL,2017,4.10793167693731
Yemen,YEM,2017,0.119686810272962
Zambia,ZMB,2017,0.958995350978317
Zimbabwe,ZWE,2017,1.47002009839648
